Country,countrycode,region,students
Nicaragua,NIC,Latin America and Caribbean,1080902.0
Palestine,PSE,Middle East and North Africa,1099883.0
Uruguay,URY,Latin America and Caribbean,1210473.0
Libya,LBY,Middle East and North Africa,1217155.0
Costa Rica,CRI,Latin America and Caribbean,1254519.0
Croatia,HRV,Europe and Central Asia,1265566.0
Ghana,GHA,Sub-Saharan Africa,1278717.0
Lebanon,LBN,Middle East and North Africa,1308402.0
Jordan,JOR,Middle East and North Africa,1339073.0
Tunisia,TUN,Middle East and North Africa,1367634.0
Panama,PAN,Latin America and Caribbean,1415537.0
Paraguay,PRY,Latin America and Caribbean,1463057.0
Slovak Republic,SVK,Europe and Central Asia,1517846.0
Switzerland,CHE,Europe and Central Asia,1636539.0
Azerbaijan,AZE,Europe and Central Asia,1699585.0
Cuba,CUB,Latin America and Caribbean,1770174.0
Nepal,NPL,South Asia,1863882.0
Bulgaria,BGR,Europe and Central Asia,1896312.0
Sweden,SWE,Europe and Central Asia,1942332.0
Serbia,SRB,Europe and Central Asia,1943469.0
Kenya,KEN,Sub-Saharan Africa,2044753.0
Sudan,SDN,Sub-Saharan Africa,2079138.0
Greece,GRC,Europe and Central Asia,2210980.0
Portugal,PRT,Europe and Central Asia,2225578.0
Czech Republic,CZE,Europe and Central Asia,2319657.0
Israel,ISR,Middle East and North Africa,2399533.0
New Zealand,NZL,East Asia and Pacific,2448365.0
Belarus,BLR,Europe and Central Asia,2514917.0
Ethiopia,ETH,Sub-Saharan Africa,2521441.0
Austria,AUT,Europe and Central Asia,2583891.0
Dominican Republic,DOM,Latin America and Caribbean,2644678.0
Bolivia,BOL,Latin America and Caribbean,2667842.0
Uzbekistan,UZB,Europe and Central Asia,2740467.0
Romania,ROU,Europe and Central Asia,2995041.0
Morocco,MAR,Middle East and North Africa,3028018.0
Syrian Arab Republic,SYR,Middle East and North Africa,3084927.0
Iraq,IRQ,Middle East and North Africa,3123419.0
Ecuador,ECU,Latin America and Caribbean,3283408.0
Malaysia,MYS,East Asia and Pacific,3536357.0
Kazakhstan,KAZ,Europe and Central Asia,3559611.0
Ireland,IRL,Europe and Central Asia,4105582.0
Chile,CHL,Latin America and Caribbean,4182734.0
Saudi Arabia,SAU,Middle East and North Africa,4218575.0
Netherlands,NLD,Europe and Central Asia,4480908.0
Algeria,DZA,Middle East and North Africa,4493616.0
South Africa,ZAF,Sub-Saharan Africa,4938872.0
Bangladesh,BGD,South Asia,5430354.0
Peru,PER,Latin America and Caribbean,5610259.0
Pakistan,PAK,South Asia,5738757.0
Venezuela,VEN,Latin America and Caribbean,5862043.0
Nigeria,NGA,Sub-Saharan Africa,6006787.0
