Bachelor
45.0
27.0
60.0
0.0
43.0
205.0
50.0
4.0
122.0
57.0
43.0
1.0
12.0
119.0
1.0
0.0
9.0
1.0
28.0
2.0
92.0
39.0
13.0
1231.0
3.0
49.0
36.0
0.0
8.0
38.0
34.0
241.0
1.0
8.0
43.0
861.0
13.0
0.0
1.0
55.0
2.0
43.0
70.0
0.0
66.0
1.0
30.0
0.0
23.0
1.0
30.0
92.0
47.0
0.0
1.0
0.0
0.0
2.0
65.0
1.0
8.0
0.0
158.0
1.0
1.0
1.0
1.0
13.0
43.0
335.0
70.0
42.0
1.0
33.0
32.0
7.0
4.0
11.0
6.0
18.0
0.0
0.0
693.0
867.0
221.0
83.0
42.0
56.0
89.0
5.0
601.0
31.0
106.0
50.0
123.0
224.0
10.0
32.0
16.0
0.0
36.0
1.0
6.0
11.0
2.0
0.0
1.0
41.0
19.0
76.0
7.0
4.0
2.0
3.0
6.0
1043.0
0.0
1.0
51.0
13.0
73.0
39.0
146.0
4.0
11.0
55.0
49.0
47.0
3.0
110.0
0.0
23.0
51.0
122.0
29.0
25.0
15.0
59.0
0.0
2088.0
334.0
0.0
3.0
0.0
996.0
10.0
0.0
4.0
1.0
1.0
68.0
57.0
29.0
1.0
1.0
7.0
0.0
0.0
6.0
37.0
20.0
5.0
0.0
23.0
74.0
2.0
32.0
30.0
34.0
120.0
30.0
25.0
136.0
1.0
1.0
18.0
2.0
8.0
33.0
165.0
19.0
35.0
249.0
52.0
269.0
1736.0
23.0
117.0
68.0
0.0
33.0
22.0
13.0
