PhD
6.0
11.0
58.0
3.0
0.0
133.0
22.0
0.0
83.0
31.0
29.0
0.0
2.0
28.0
1.0
37.0
5.0
0.0
4.0
2.0
24.0
22.0
3.0
148.0
3.0
44.0
8.0
3.0
1.0
17.0
14.0
126.0
2.0
1.0
35.0
274.0
10.0
146.0
0.0
18.0
1.0
39.0
9.0
10.0
50.0
0.0
0.0
29.0
13.0
0.0
13.0
10.0
31.0
22.0
0.0
0.0
13.0
1.0
14.0
1.0
4.0
8.0
161.0
0.0
1.0
1.0
1.0
3.0
26.0
146.0
12.0
30.0
1.0
13.0
3.0
0.0
2.0
0.0
10.0
5.0
16.0
0.0
593.0
58.0
137.0
27.0
22.0
9.0
80.0
3.0
406.0
10.0
63.0
40.0
76.0
163.0
1.0
17.0
0.0
38.0
17.0
1.0
1.0
8.0
6.0
0.0
1.0
12.0
10.0
70.0
1.0
0.0
2.0
1.0
3.0
275.0
18.0
1.0
25.0
2.0
25.0
5.0
36.0
3.0
7.0
19.0
22.0
25.0
2.0
55.0
16.0
17.0
2.0
102.0
4.0
10.0
10.0
33.0
98.0
328.0
102.0
30.0
2.0
42.0
1030.0
0.0
0.0
2.0
1.0
0.0
16.0
8.0
29.0
0.0
0.0
4.0
27.0
26.0
4.0
0.0
20.0
1.0
68.0
17.0
34.0
1.0
33.0
14.0
12.0
80.0
16.0
16.0
94.0
0.0
0.0
2.0
0.0
6.0
6.0
92.0
2.0
11.0
212.0
5.0
246.0
871.0
5.0
37.0
31.0
0.0
0.0
11.0
8.0
