Master
17.0
26.0
71.0
0.0
0.0
0.0
47.0
4.0
126.0
58.0
41.0
1.0
10.0
115.0
1.0
41.0
37.0
1.0
30.0
2.0
0.0
26.0
5.0
0.0
3.0
48.0
40.0
0.0
0.0
35.0
35.0
175.0
2.0
7.0
42.0
465.0
11.0
0.0
0.0
5.0
2.0
0.0
65.0
0.0
0.0
1.0
20.0
42.0
14.0
1.0
0.0
0.0
42.0
0.0
0.0
0.0
19.0
1.0
38.0
1.0
4.0
9.0
209.0
1.0
1.0
1.0
1.0
14.0
42.0
341.0
39.0
36.0
0.0
0.0
14.0
0.0
3.0
0.0
0.0
0.0
27.0
0.0
732.0
302.0
190.0
34.0
40.0
58.0
91.0
5.0
513.0
26.0
99.0
44.0
109.0
215.0
5.0
37.0
8.0
0.0
32.0
1.0
3.0
11.0
4.0
17.0
1.0
41.0
11.0
81.0
7.0
2.0
2.0
4.0
6.0
0.0
24.0
1.0
43.0
9.0
94.0
0.0
102.0
3.0
11.0
56.0
45.0
0.0
5.0
76.0
35.0
26.0
13.0
118.0
14.0
0.0
14.0
0.0
0.0
607.0
287.0
88.0
3.0
65.0
859.0
6.0
0.0
4.0
1.0
0.0
45.0
63.0
29.0
1.0
1.0
7.0
29.0
42.0
4.0
11.0
27.0
1.0
0.0
22.0
43.0
2.0
33.0
32.0
14.0
112.0
28.0
25.0
133.0
1.0
0.0
18.0
0.0
8.0
0.0
0.0
3.0
33.0
263.0
31.0
287.0
1535.0
0.0
109.0
0.0
0.0
21.0
19.0
13.0
