Country,countrycode,region,students
Israel,ISR,Middle East and North Africa,2399533
New Zealand,NZL,East Asia and Pacific,2448365
Belarus,BLR,Europe and Central Asia,2514917
Ethiopia,ETH,Sub-Saharan Africa,2521441
Austria,AUT,Europe and Central Asia,2583891
Dominican Republic,DOM,Latin America and Caribbean,2644678
Bolivia,BOL,Latin America and Caribbean,2667842
Uzbekistan,UZB,Europe and Central Asia,2740467
Romania,ROU,Europe and Central Asia,2995041
Morocco,MAR,Middle East and North Africa,3028018
Syrian Arab Republic,SYR,Middle East and North Africa,3084927
Iraq,IRQ,Middle East and North Africa,3123419
Ecuador,ECU,Latin America and Caribbean,3283408
Malaysia,MYS,East Asia and Pacific,3536357
Kazakhstan,KAZ,Europe and Central Asia,3559611
Ireland,IRL,Europe and Central Asia,4105582
Chile,CHL,Latin America and Caribbean,4182734
Saudi Arabia,SAU,Middle East and North Africa,4218575
Netherlands,NLD,Europe and Central Asia,4480908
Algeria,DZA,Middle East and North Africa,4493616
South Africa,ZAF,Sub-Saharan Africa,4938872
Bangladesh,BGD,South Asia,5430354
Peru,PER,Latin America and Caribbean,5610259
Pakistan,PAK,South Asia,5738757
Venezuela,VEN,Latin America and Caribbean,5862043
Nigeria,NGA,Sub-Saharan Africa,6006787
"Korea, Dem People���S Rep",PRK,East Asia and Pacific,6679728
Vietnam,VNM,East Asia and Pacific,6963903
Australia,AUS,East Asia and Pacific,8151086
Myanmar,MMR,East Asia and Pacific,9118549
Poland,POL,Europe and Central Asia,11021514
Colombia,COL,Latin America and Caribbean,11452806
Argentina,ARG,Latin America and Caribbean,11907365
Spain,ESP,Europe and Central Asia,11925594
Egypt,EGY,Middle East and North Africa,12292342
Thailand,THA,East Asia and Pacific,12680068
Ukraine,UKR,Europe and Central Asia,13085616
Turkey,TUR,Europe and Central Asia,13446868
"Korea, Rep",KOR,East Asia and Pacific,14692294
Guatemala,GTM,Latin America and Caribbean,15508030
Canada,CAN,North America,15739589
France,FRA,Europe and Central Asia,16069902
Italy,ITA,Europe and Central Asia,16490616
Indonesia,IDN,East Asia and Pacific,17201532
Iran,IRN,Middle East and North Africa,17325572
Germany,DEU,Europe and Central Asia,18990964
Japan,JPN,East Asia and Pacific,26212898
Mexico,MEX,Latin America and Caribbean,28615985
Brazil,BRA,Latin America and Caribbean,32573449
United Kingdom,GBR,Europe and Central Asia,32752878
Russian Federation,RUS,Europe and Central Asia,34933929
Philippines,PHL,East Asia and Pacific,38929878
United States,USA,North America,53203189
China,CHN,East Asia and Pacific,63595771
India,IND,South Asia,97583864
